location,number
Afghanistan,1703
Albania,736
Algeria,3517
Andorra,743
Angola,27
Anguilla,3
Antigua and Barbuda,24
Argentina,3990
Armenia,1867
Aruba,100
Australia,6725
Austria,15256
Azerbaijan,1678
Bahamas,80
Bahrain,2723
Bangladesh,5913
Barbados,80
Belarus,11289
Belgium,46687
Belize,18
Benin,64
Bermuda,110
Bhutan,7
Bolivia,1014
Bonaire Sint Eustatius and Saba,6
Bosnia and Herzegovina,1564
Botswana,22
Brazil,66501
British Virgin Islands,6
Brunei,138
Bulgaria,1363
Burkina Faso,635
Burundi,15
Cambodia,122
Cameroon,1621
Canada,48489
Cape Verde,109
Cayman Islands,70
Central African Republic,50
Chad,46
Chile,13813
China,83938
Colombia,5597
Congo,207
Costa Rica,697
Cote d'Ivoire,1164
Croatia,2039
Cuba,1389
Curacao,16
Cyprus,822
Czech Republic,7449
Democratic Republic of Congo,471
Denmark,8698
Djibouti,1035
Dominica,16
Dominican Republic,6135
Ecuador,23240
Egypt,4782
El Salvador,323
Equatorial Guinea,258
Eritrea,39
Estonia,1647
Ethiopia,124
Faeroe Islands,187
Falkland Islands,13
Fiji,18
Finland,4695
France,128339
French Polynesia,58
Gabon,211
Gambia,10
Georgia,497
Germany,156337
Ghana,1550
Gibraltar,141
Greece,2534
Greenland,11
Grenada,18
Guam,144
Guatemala,530
Guernsey,247
Guinea,1163
Guinea-Bissau,73
Guyana,74
Haiti,76
Honduras,693
Hungary,2649
Iceland,1792
India,29435
Indonesia,9096
International,
Iran,91472
Iraq,1847
Ireland,19648
Isle of Man,308
Israel,15466
Italy,199414
Jamaica,364
Japan,13576
Jersey,283
Jordan,449
Kazakhstan,2860
Kenya,363
Kosovo,780
Kuwait,3288
Kyrgyzstan,708
Laos,19
Latvia,818
Lebanon,710
Liberia,133
Libya,61
Liechtenstein,83
Lithuania,1449
Luxembourg,3729
Macedonia,1399
Madagascar,128
Malawi,36
Malaysia,5820
Maldives,214
Mali,408
Malta,450
Mauritania,7
Mauritius,334
Mexico,15529
Moldova,3481
Monaco,95
Mongolia,38
Montenegro,321
Montserrat,11
Morocco,4120
Mozambique,76
Myanmar,146
Namibia,16
Nepal,52
Netherlands,38245
New Caledonia,18
New Zealand,1124
Nicaragua,13
Niger,701
Nigeria,1337
Northern Mariana Islands,14
Norway,7533
Oman,2049
Pakistan,14079
Palestine,495
Panama,6021
Papua New Guinea,8
Paraguay,230
Peru,28699
Philippines,7777
Poland,11902
Portugal,24027
Puerto Rico,1389
Qatar,11244
Romania,11339
Russia,87147
Rwanda,207
Saint Kitts and Nevis,15
Saint Lucia,15
Saint Vincent and the Grenadines,15
San Marino,538
Sao Tome and Principe,8
Saudi Arabia,18811
Senegal,735
Serbia,8275
Seychelles,11
Sierra Leone,99
Singapore,14423
Sint Maarten (Dutch part),75
Slovakia,1381
Slovenia,1407
Somalia,480
South Africa,4793
South Korea,10752
South Sudan,6
Spain,
Sri Lanka,588
Sudan,275
Suriname,10
Swaziland,65
Sweden,18926
Switzerland,29081
Syria,43
Taiwan,429
Tanzania,300
Thailand,2938
Timor,24
Togo,99
Trinidad and Tobago,116
Tunisia,967
Turkey,112261
Turks and Caicos Islands,12
Uganda,79
Ukraine,9009
United Arab Emirates,10839
United Kingdom,157149
United States,988451
United States Virgin Islands,59
Uruguay,620
Uzbekistan,1904
Vatican,9
Venezuela,329
Vietnam,270
Western Sahara,6
Yemen,1
Zambia,89
Zimbabwe,32
